City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Corrales,US,2021-12-02 09:12:08,35.2378,-106.6067,52.0,36,62,4.0
163,Vallenar,CL,2021-12-02 09:12:08,-28.5708,-70.7581,61.65,59,93,2.48
164,Coihaique,CL,2021-12-02 09:10:02,-45.5752,-72.0662,39.81,81,0,1.14
165,Pimenta Bueno,BR,2021-12-02 09:12:09,-11.6725,-61.1936,72.1,98,100,2.66
166,Samarai,PG,2021-12-02 09:12:10,-10.6167,150.6667,83.7,80,98,7.09
167,Thai Binh,VN,2021-12-02 09:12:11,20.45,106.3333,71.6,31,97,7.47
168,Forecariah,GN,2021-12-02 09:12:12,9.4306,-13.0881,82.58,71,100,0.92
169,High Level,CA,2021-12-02 09:12:12,58.5169,-117.136,-0.42,98,100,2.55
170,Pacific Grove,US,2021-12-02 09:08:31,36.6177,-121.9166,58.55,59,1,5.75
171,Biak,ID,2021-12-02 09:12:13,-0.9131,122.8766,80.02,78,100,2.13
172,Lityn,UA,2021-12-02 09:10:15,49.3251,28.0809,39.52,70,93,14.18
173,Ahlat,TR,2021-12-02 09:12:14,38.7518,42.4814,36.66,44,3,11.79
174,Bethel,US,2021-12-02 09:12:15,41.3712,-73.414,46.98,87,90,1.99
175,Leningradskiy,RU,2021-12-02 09:12:16,69.3833,178.4167,-11.33,94,100,4.85
176,Udachnyy,RU,2021-12-02 09:12:17,66.4167,112.4,-28.55,81,96,3.96
177,Fortuna,US,2021-12-02 09:12:18,40.5982,-124.1573,51.66,75,90,0.0
178,Tahe,CN,2021-12-02 09:12:19,52.3333,124.7333,8.26,70,53,11.43
179,Batemans Bay,AU,2021-12-02 09:12:19,-35.7167,150.1833,70.11,90,4,6.42
180,Huilong,CN,2021-12-02 09:13:20,31.8111,121.655,49.03,33,0,8.81
181,Camana,PE,2021-12-02 09:13:21,-16.6228,-72.7111,65.59,83,96,7.63
182,Chapais,CA,2021-12-02 09:13:21,49.7834,-74.8492,17.38,94,100,13.44
183,Domoni,KM,2021-12-02 09:13:22,-12.2569,44.5319,84.38,66,23,1.72
184,Ostrovnoy,RU,2021-12-02 09:13:22,68.0531,39.5131,28.89,62,100,31.36
185,Qaanaaq,GL,2021-12-02 09:13:23,77.484,-69.3632,3.94,68,76,8.81
186,Sadska,CZ,2021-12-02 09:13:24,50.136,14.9863,44.83,72,59,11.16
187,Sovetskiy,RU,2021-12-02 09:13:24,61.3614,63.5842,16.65,95,100,5.59
188,Thompson,CA,2021-12-02 09:13:25,55.7435,-97.8558,-14.64,94,76,4.65
189,Dingle,PH,2021-12-02 09:13:25,10.9995,122.6711,77.45,90,95,9.13
190,Harlingen,US,2021-12-02 09:10:10,26.1906,-97.6961,69.89,99,1,0.0
191,Pevek,RU,2021-12-02 09:13:26,69.7008,170.3133,-19.98,98,43,4.99
192,Nantucket,US,2021-12-02 09:13:05,41.2835,-70.0995,48.34,81,90,6.91
