City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
446,El Alto,PE,-4.2714,-81.2147,64.62,83,12,14.65,few clouds
447,Qaqortoq,GL,60.7167,-46.0333,45.1,85,100,27.36,light rain
448,Cururupu,BR,-1.8283,-44.8683,75.7,95,100,2.64,overcast clouds
449,Jaisinghnagar,IN,23.7,81.3833,56.97,69,2,1.63,clear sky
450,Larap,PH,14.299,122.6504,76.84,69,100,14.61,overcast clouds
451,Gawler,AU,-34.6,138.7333,75.09,46,100,3.96,overcast clouds
452,Belmonte,BR,-15.8631,-38.8828,77.5,88,80,4.12,broken clouds
453,Pitimbu,BR,-7.4706,-34.8086,79.39,82,66,11.48,broken clouds
454,Marrakesh,MA,31.6315,-8.0083,44.67,76,0,2.3,clear sky
455,Cairns,AU,-16.9167,145.7667,94.06,51,40,13.8,scattered clouds
456,Reitoca,HN,13.8258,-87.4653,83.28,77,4,6.69,clear sky
457,Koumac,NC,-20.5667,164.2833,83.52,65,24,5.93,few clouds
458,Hami,CN,42.8,93.45,26.47,54,100,3.69,overcast clouds
459,Kayseri,TR,38.737,35.4968,39.22,81,75,3.44,broken clouds
460,Aripuana,BR,-9.1667,-60.6333,74.07,91,95,2.35,overcast clouds
461,Labrea,BR,-7.2586,-64.7981,74.05,97,99,2.04,overcast clouds
462,Talcahuano,CL,-36.7167,-73.1167,64.08,63,0,13.8,clear sky
463,Cacahuatepec,MX,16.8861,-99.6106,81.97,76,0,3.2,clear sky
464,Pingliang,CN,35.5392,106.6861,37.24,22,0,2.73,clear sky
465,Sola,VU,-13.8833,167.55,86.67,74,75,4.61,broken clouds
466,Harrison,US,30.4091,-89.0436,67.14,95,1,0.0,clear sky
467,Lancaster,US,40.2504,-76.2499,45.59,78,1,3.44,clear sky
468,Cockburn Town,TC,21.4612,-71.1419,80.73,73,21,21.65,few clouds
469,Dehloran,IR,32.6941,47.2679,57.74,34,94,1.48,overcast clouds
470,Nagar,IN,27.4333,77.1,61.21,68,0,3.09,clear sky
471,Baykit,RU,61.67,96.37,-6.43,95,98,2.93,overcast clouds
472,Lompoc,US,34.6391,-120.4579,59.38,80,20,8.05,few clouds
473,Takoradi,GH,4.8845,-1.7554,80.1,80,100,5.7,overcast clouds
474,Gravelbourg,CA,49.8834,-106.5512,26.87,93,100,11.52,snow
475,Cleburne,US,32.3476,-97.3867,71.35,60,90,3.44,overcast clouds
476,Kisangani,CD,0.5167,25.2,71.04,99,100,2.77,light rain
477,Nhulunbuy,AU,-12.2333,136.7667,93.81,55,40,4.61,scattered clouds
478,Ardahan,TR,41.1087,42.7022,16.3,81,100,2.15,light snow
