City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
205,Matamoros,MX,77.11,broken clouds,25.5333,-103.25,Quinta Belem
209,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
216,Sabang,ID,81.68,broken clouds,5.8933,95.3214,Hotel Citra
222,Namatanai,PG,86.13,light rain,-3.6667,152.4333,Seagulls Inn Namatani
228,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
230,Bodden Town,KY,80.6,few clouds,19.2833,-81.25,Will T Place
241,Cayenne,GF,76.08,light rain,4.9333,-52.3333,Hôtel Le Dronmi
243,Omboue,GA,78.17,overcast clouds,-1.5746,9.2618,Hotel Olako
248,Itacare,BR,80.49,clear sky,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
252,Aquiraz,BR,85.21,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
256,Kendari,ID,77.27,overcast clouds,-3.945,122.4989,Hotel Wixel
260,Port Keats,AU,89.4,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
285,Hithadhoo,MV,81.64,broken clouds,-0.6,73.0833,Scoop Guest House
292,Jatiroto,ID,75.61,overcast clouds,-7.8833,111.1167,Mushola Al Huda
297,Sotouboua,TG,75.67,scattered clouds,8.5667,0.9833,Auberge Médina
307,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
308,Fuerte,PH,75.97,overcast clouds,17.5381,120.3644,Giordion Inn
